f3,v3,tot3,prov,reg,scl,nahm,durb,nch06,nch711,nch1217,nch18
9416.091,4067.27,77709.715,13,4,3,2,6,0,0,0,2
6196.373,97.95,44285.777,4,4,4,2,5,1,0,0,2
9880.4009,150.35,50352.0829,4,4,2,3,4,0,0,0,3
4275.9315,192,75718.9434,5,4,2,2,6,0,0,0,2
7063.91,253.5,37075.8205,5,4,4,2,5,2,1,0,2
7985.9619,2145.8,35342.1949,5,4,4,3,6,0,0,1,2
10590.7724,0,55557.8684,11,5,3,2,8,0,0,0,2
2451.4294,682.4,24614.7494,5,4,2,1,8,0,0,0,1
6871.0941,304.2,23032.0562,5,4,4,2,9,2,0,0,2
9976.2066,191.5,35453.4992,5,4,1,4,6,0,0,2,2
9839.2766,1611.5,40846.1966,6,2,2,4,7,0,1,1,2
8375.801,3311.65,37834.448,6,2,5,2,7,0,0,0,2
4513.9793,1460,14999.0531,6,2,4,2,5,0,0,0,2
7123.64,1922.46,27983.113,6,2,5,3,5,0,0,1,2
12988.1931,12644.15,91136.4711,6,2,3,2,8,0,0,0,2
2866.1919,926.2,19683.6065,6,2,5,1,8,0,0,0,1
9524.5598,79.2,30140.3368,5,4,4,2,7,1,0,0,2
6471.1185,388.6,17240.6428,6,2,4,1,7,0,0,0,1
4959.8459,1965.5,37397.1609,5,4,3,2,7,0,0,0,2
883.9856,2030.28,51820.2649,8,2,2,1,9,0,0,0,1
7366.5705,298.3,64966.0985,6,2,3,2,10,0,0,0,2
8092.2289,0,77604.1659,6,2,4,4,4,0,0,0,4
6480.3387,0,33933.082,5,4,4,4,6,0,0,1,3
5939.1699,0,39044.1069,12,1,3,2,13,0,0,0,2
10038.167,4723.61,82057.979,7,2,2,4,7,0,0,0,4
6007.7899,753.65,45901.4569,7,2,4,2,12,0,0,0,2
9684.1248,4140,61850.1548,8,2,2,2,9,0,2,0,2
6263.2362,883.51,46750.8557,9,5,4,4,9,0,0,1,3
7974.0347,25.8,31728.3229,10,5,1,2,6,2,0,0,2
7726.0844,1202.7,48108.9104,5,4,4,5,5,0,2,2,2
6583.6111,0,26134.5621,10,5,4,2,6,1,0,0,2
2958.3996,644.5,42508.1906,11,5,1,1,11,0,0,0,1
6468.283,886,37639.105,7,2,2,1,6,0,2,0,1
5712.3086,0,69971.4416,6,2,2,2,7,0,0,0,2
7568.6071,425.3,26151.3941,7,2,4,2,12,0,0,0,2
8757.2105,22.5,44035.2635,7,2,3,2,12,1,1,0,2
8970.0085,527.9,24425.8682,7,2,4,2,11,0,0,0,2
6838.4314,595,36235.4414,7,2,3,2,7,0,0,0,2
7967.6895,732,44350.6255,7,2,3,2,11,0,2,0,2
9141.0294,10559.75,54673.0034,8,2,2,2,10,0,0,0,2
5520.064,2850.4,23129.781,10,5,4,2,6,0,0,0,2
7143.212,1648.04,62877.368,10,5,4,3,5,0,1,1,2
8584.8571,537,43300.3551,9,5,4,3,5,0,0,1,2
4230.3062,65,28977.0132,10,5,2,2,5,0,0,0,2
7222.5397,0,38610.1247,10,5,3,2,5,1,0,0,2
4878.2155,500,22868.9102,10,5,2,2,4,0,0,0,2
9847.326,964.4,32061.767,10,5,4,2,5,1,1,0,2
8560.5587,230.5,41464.8807,10,5,4,5,6,0,0,1,4
10201.2006,1104.85,52976.8836,10,5,4,4,5,0,0,2,2
5949.8841,1200,29818.6021,10,5,4,2,6,0,0,0,2
6645.7914,669.2,28031.4561,10,5,3,2,7,1,0,0,2
9621.2746,588.95,47255.1906,9,5,2,3,4,0,1,1,2
6359.9046,2412.31,20179.1999,9,5,3,1,4,0,0,0,1
11084.7858,2459.4,73223.1418,10,5,2,2,6,0,0,0,2
6185.7413,27.5,20749.6802,11,5,4,2,6,0,0,0,2
2639.8523,10446.93,36410.8967,3,3,2,2,10,0,0,0,2
6747.2409,1236.6,54828.0389,7,2,3,4,9,0,0,0,4
8542.2626,638.25,28949.1448,10,5,4,4,5,0,0,2,2
7891.3737,3714.75,34478.0992,7,2,2,2,4,0,2,0,2
7663.1852,120,30945.7512,7,2,1,2,4,1,0,0,2
5358.0686,2616.04,39831.5126,8,2,4,2,7,2,0,0,2
4543.0066,945.5,15657.2169,8,2,5,2,5,0,0,0,2
2685.967,1337.74,28734.254,8,2,1,1,9,0,0,0,1
11778.3557,4714.5,59752.1357,8,2,2,2,7,2,0,0,2
8166.9575,1278.5,89473.4235,8,2,2,2,4,0,0,0,2
8370.961,644,24458.3564,8,2,5,3,7,0,0,0,3
